# BJD, RAW_FLUX, RAW_FLUX_ERR, CORR_FLUX, CORR_FLUX_ERR, PHASE

2455101.296090 50122.703125 7.709524 0.998280 0.000150 13.390609
2455101.316523 50136.718750 7.710117 0.998554 0.000150 13.392652
2455101.336956 50119.855469 7.709551 0.998213 0.000150 13.394696
2455101.357388 50152.187500 7.710642 0.998852 0.000150 13.396739
2455101.377821 50185.824219 7.712297 0.999516 0.000150 13.398782
2455101.398254 50197.500000 7.712704 0.999744 0.000150 13.400825
2455101.418687 50216.699219 7.713401 1.000121 0.000150 13.402869
2455101.439119 50212.058594 7.713267 1.000023 0.000150 13.404912
2455101.459552 50261.460938 7.715231 1.001001 0.000150 13.406955
2455101.479985 50265.402344 7.715434 1.001074 0.000150 13.408998
2455101.500417 50288.949219 7.716534 1.001538 0.000150 13.411042
2455101.520850 50285.503906 7.716292 1.001464 0.000150 13.413085
2455101.541283 50289.566406 7.716404 1.001539 0.000150 13.415128
2455101.561716 50296.710938 7.716630 1.001676 0.000150 13.417172
2455101.582148 50284.855469 7.716439 1.001435 0.000150 13.419215
2455101.602581 50287.058594 7.716228 1.001473 0.000150 13.421258
2455101.623014 50266.304688 7.715649 1.001054 0.000150 13.423301
2455101.643447 50289.609375 7.716458 1.001513 0.000150 13.425345
2455101.663879 50255.265625 7.714989 1.000823 0.000150 13.427388
2455101.684312 50267.531250 7.715578 1.001062 0.000150 13.429431
2455101.704745 50223.507812 7.713895 1.000180 0.000150 13.431475
2455101.725177 50245.132812 7.714730 1.000605 0.000150 13.433518
2455101.745610 50229.511719 7.715025 1.000288 0.000150 13.435561
2455101.766043 50249.648438 7.714822 1.000684 0.000150 13.437604
2455101.786476 50234.351562 7.714173 1.000374 0.000150 13.439648
2455101.806908 50227.355469 7.714054 1.000229 0.000150 13.441691
2455101.827341 50219.878906 7.713907 1.000074 0.000150 13.443734
2455101.847774 50204.019531 7.713043 0.999753 0.000150 13.445777
2455101.868206 50210.296875 7.713297 0.999872 0.000150 13.447821
2455101.888639 50194.964844 7.712671 0.999561 0.000150 13.449864
2455101.909072 50192.746094 7.712588 0.999511 0.000150 13.451907
2455101.929505 50172.949219 7.711773 0.999111 0.000150 13.453950
2455101.949937 50154.234375 7.710936 0.998733 0.000150 13.455994
2455101.970370 50138.261719 7.710464 0.998409 0.000150 13.458037
2455101.990803 50144.785156 7.710795 0.998533 0.000150 13.460080
2455102.011236 50128.585938 7.710159 0.998205 0.000150 13.462124
2455102.031668 50139.699219 7.710614 0.998421 0.000150 13.464167
2455102.052101 50137.707031 7.710493 0.998375 0.000150 13.466210
2455102.072534 50132.605469 7.710259 0.998268 0.000150 13.468253
2455102.092966 50169.410156 7.711604 0.998995 0.000150 13.470297
2455102.113399 50188.515625 7.712587 0.999370 0.000150 13.472340
2455102.133832 50212.058594 7.713539 0.999833 0.000150 13.474383
2455102.154265 50212.472656 7.713604 0.999835 0.000150 13.476426
2455102.174697 50260.796875 7.715395 1.000791 0.000150 13.478470
2455102.195130 50251.464844 7.715150 1.000600 0.000150 13.480513
2455102.215563 50287.796875 7.716523 1.001317 0.000150 13.482556
2455102.235995 50299.839844 7.717000 1.001551 0.000150 13.484600
2455102.256428 50300.175781 7.717218 1.001552 0.000150 13.486643
2455102.276861 50320.917969 7.717844 1.001959 0.000150 13.488686
2455102.297294 50306.332031 7.717244 1.001663 0.000150 13.490729
2455102.317726 50308.851562 7.717455 1.001707 0.000150 13.492773
